StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q34,Q6,Q12,Q13,Q14,Q16,Q39_1,Q39_2,Q39_3,Q39_4,Q33,Q37_1,Q37_2,Q37_3,Q37_4,Q37_5,Q37_6,Q37_7,Q37_8,Q37_9,Q37_10,Q37_11,Q37_12,Q37_13,Q37_14,Q37_15,Q37_16,Q37_17,Q37_18,Q37_18_TEXT,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q36_9_TEXT,Q25,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q35_9,Q35_10,Q35_11,Q35_12,Q35_13,Q35_13_TEXT,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_5_TEXT,Q27,Q28,Q28_5_TEXT,Q29,Q30,Q31,Q31_5_TEXT,Q44,Q25,Q26,Q38,Q33,Q35,Q34,Q34_5_TEXT,Q25 - Parent Topics,Q25 - Topics,Q_AmbiguousTextPresent,Q_AmbiguousTextQuestions,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions,Q_UnansweredPercentage,Q_UnansweredQuestions,Q25 - Topic Hierarchy Level 1
2023-04-25 03:55:31,2023-04-25 04:22:02,IP Address,100,1590,True,2023-04-25 04:22:04,R_ywhEHSRJaeQx3VL,anonymous,UK,Yes,Yes,Yes,Yes,Yes,"09.03.2022р ","Яссы Румыния ",Probably not,Master or equivalent level,Fluent,Fluent,Intermediate,Basic,,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Never,Most of the time,,,Most of the time,,,Sometimes,Sometimes,,"Медичне обслуговування ",Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,,,"Телефон, интернет ",Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,I did not trust it,I did not trust it,Fully trusted it,Fully trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,,,1,2,4,3,5,,Yes,Credible,,"Було перевірено заздалегідь ",Yes,Accurate,,"Тому що усе підтверджується ",Might or might not,Українці в Яссах,I found all information necessary for my migration journey,,Мовна проблема. Треба вивчання румунського язика,Text,,,Unknown,0,,0,0,,0.037037037037037035,QID58,
2023-04-25 04:19:30,2023-04-25 04:28:39,IP Address,100,549,True,2023-04-25 04:28:40,R_3nGYIPDrLc8nVzf,anonymous,UK,Yes,Yes,Yes,Yes,Yes,Полгода тому,Ясси,Probably yes,Bachelor or equivalent level,Fluent,Fluent,Basic,,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,,Sometimes,Sometimes,Sometimes,Never,Sometimes,Most of the time,Sometimes,Sometimes,Never,,,Somehow trusted it,Fully trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,I did not trust it,,5,4,3,1,2,Watsap,Yes,Accurate,,,Yes,Reliable,,,Might or might not,Watsap,I found all information necessary for my migration journey,,Незнание языка,Text,,,,0,,0,0,,0.11538461538461539,"QID34,QID41,QID56",
2023-04-25 04:00:00,2023-04-25 04:38:07,IP Address,100,2287,True,2023-04-25 04:38:10,R_1qecVOz6NVrMDQm,anonymous,UK,Yes,Yes,Yes,Yes,Yes,"February 15th, 2022",bratislava,Probably not,Master or equivalent level,Fluent,Fluent,Intermediate,Basic,,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Most of the time,Sometimes,Never,Never,Never,Never,Sometimes,Sometimes,,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,,"https://www.facebook.com/groups/2220403771360714/, https://www.facebook.com/groups/387184371438297, https://t.me/ukrajinci_na_sk",Somehow trusted it,Somehow trusted it,Fully trusted it,Fully trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,,,3,4,1,5,2,youtube,Not Applicable: I did not have a look at the information provided by organizations,"Credible,Transparent",,,,,,,Definitely yes,"repost official government information on social networks with links to the original source. If we are talking about Ukrainian news I prefer censor.net and several journalist's pages, for example: https://www.facebook.com/butusov.yuriy/",I found a part fo the necessary information for my migration journey,,"If the population of the country knows a little English, then this simplifies everything. Unfortunately, in Slovakia you rarely meet people with knowledge of English.","Infographics,Videos,Text",,,Unknown,0,,0,0,,0.1111111111111111,"QID41,QID56,QID58",
2023-04-25 04:43:53,2023-04-25 05:05:44,IP Address,100,1310,True,2023-04-25 05:05:44,R_uxnhqcUeZI8SJ0Z,anonymous,UK,Yes,Yes,Yes,Yes,Yes,16.07.2022,"Яссы ",Definitely not,Bachelor or equivalent level,Fluent,Fluent,Basic,,,Most of the time,Never,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Never,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,,,Most of the time,Never,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Never,,"Телеграм канал: Українці в Яссах, Червоних Хрест філіал Яси. Whatsapp: Соціальний йентр Яси",Somehow trusted it,Fully trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,I did not trust it,Somehow trusted it,Somehow trusted it,Fully trusted it,I did not trust it,Fully trusted it,Somehow trusted it,,,5,4,2,1,3,What's App,Not Applicable: I did not have a look at the information provided by organizations,Transparent,,,Yes,"Reliable,Credible,Accurate,Transparent",,"По темі,  відповіді буди чіткі",Definitely yes,"Телеграм канал: Червоних Хрест філіал Яси, Українці в Ясах",I found all information necessary for my migration journey,,"В лікарні не розуміла мови, булоб добре мати в оікарнях перекладача","Videos,Text",,,Unknown,0,,0,0,,0.038461538461538464,QID41,
2023-04-25 05:13:34,2023-04-25 05:24:34,IP Address,100,659,True,2023-04-25 05:24:34,R_31b0M9V0bvLHWjA,anonymous,EN,Yes,Yes,Yes,Yes,No,"Dnipro ",Dnipro,Definitely yes,Bachelor or equivalent level,Fluent,Fluent,Intermediate,Fluent,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Most of the time,Never,Sometimes,Never,Sometimes,Never,Sometimes,,,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Never,Never,Never,,,Twitter and telegram’s chats,Somehow trusted it,Somehow trusted it,Fully trusted it,Fully trusted it,I did not trust it,Somehow trusted it,Somehow trusted it,I did not trust it,Somehow trusted it,I did not trust it,Somehow trusted it,Fully trusted it,,,1,3,4,2,5,,Yes,"Accurate,Transparent",,,No,,,"I don’t trust the Red Cross information as they proved the inability to manage some important issues  for example regarding Ukrainians who’s been  captured by Russians ,so I do not have any trust in that organization ",Might or might not,"Ukrainian activists all around the glob ,some local foundations which I know ",I found a part fo the necessary information for my migration journey,,"The biggest challenge is to find the appropriate information,so I’d suggest to do more research before you are planning to go somewhere ,also local foundations could’ve been helpful ","Infographics,Text",,,Unknown,1,"QID12,QID13",0,0,,0.038461538461538464,QID41,
2023-04-25 06:35:30,2023-04-25 06:45:56,IP Address,100,625,True,2023-04-25 06:45:56,R_8plK17TxOJ3DCDv,anonymous,UK,Yes,Yes,Yes,Yes,Yes,Травень 2022,Румунiя,Probably yes,Master or equivalent level,Intermediate,Fluent,Basic,Basic,,Most of the time,Most of the time,Sometimes,Most of the time,,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,,Most of the time,Sometimes,Most of the time,Most of the time,,,,Most of the time,Most of the time,Sometimes,Never,Most of the time,Sometimes,Sometimes,Most of the time,,,,Fully trusted it,Fully trusted it,Fully trusted it,,,I did not trust it,,,Fully trusted it,Fully trusted it,Fully trusted it,,,,1,2,3,4,5,,Sometimes,Transparent,,,Yes,Transparent,,,Might or might not,,I found a part fo the necessary information for my migration journey,,Мовнi   труднощi,"Videos,Text",,,,0,,0,0,,0.18518518518518517,"QID34,QID41,QID56,QID58,QID38",
2023-04-25 06:45:53,2023-04-25 06:59:39,IP Address,100,826,True,2023-04-25 06:59:40,R_24nKaahwIE206Ol,anonymous,UK,Yes,Yes,Yes,Yes,Yes,"9 березня ","Constanta,Romania ",Probably not,Bachelor or equivalent level,Intermediate,Intermediate,Basic,Basic,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,,Sometimes,,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,,"Dopomaha.ro ",,Somehow trusted it,,Somehow trusted it,,,,Somehow trusted it,,,Fully trusted it,,,,2,1,4,3,5,Telegram,Sometimes,"Credible,Accurate",,,Yes,"Reliable,Credible",,,Definitely yes,Dopomaha.ro dopomoga.gov.md,I found a part fo the necessary information for my migration journey,,Мова,Text,,,Unknown,0,,0,0,,0.07692307692307693,"QID41,QID56",
2023-04-15 03:44:58,2023-04-15 03:59:57,IP Address,85,899,False,2023-04-29 04:00:01,R_ZK6b8G8siUeGSeR,anonymous,EN,Yes,Yes,Yes,,Yes,03-08-2022,"Faro, Portugal",Probably yes,Master or equivalent level,Fluent,Fluent,Fluent,Basic,,Sometimes,Never,Sometimes,Never,Most of the time,Never,Most of the time,Most of the time,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,,Never,Never,Never,Sometimes,Most of the time,Never,Never,Never,Never,,"https://sefforukraine.sef.pt/, Ukrainians in Portugal (Facebook group)",Somehow trusted it,Fully trusted it,Fully trusted it,Fully trusted it,I did not trust it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,I did not trust it,Fully trusted it,Fully trusted it,,,4,1,2,3,5,,Not Applicable: I did not have a look at the information provided by organizations,Transparent,,"I was following mostly the local authorities directories about the help provided for Ukrainians. This information was transparent, but not always accurate (e.g. how to apply for temporary protection, what kind of documents to expect etc)",Sometimes,Transparent,,"At the time I was arriving to Portugal I read some information from the Res Cross about shelter for Ukrainians. I didn’t have a need to use it for myself, but the information from websites seemed to be transparent. However, after the Red Cross been involved into the operations in Russia, I don’t trust this organization anymore. ",,,,,,,,,Unknown,1,QID34,0,0,,0,,
2023-04-15 04:29:58,2023-04-15 04:30:49,IP Address,9,50,False,2023-04-29 04:30:57,R_2a9SQ3PpEBbPu8O,anonymous,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 04:36:57,2023-04-15 04:37:43,IP Address,26,46,False,2023-04-29 04:37:49,R_xn0ysRsLlKp6jQZ,anonymous,EN,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 04:38:45,2023-04-15 04:42:59,IP Address,26,254,False,2023-04-29 04:43:00,R_W0Ztr2qI9iJh5cZ,anonymous,EN,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 04:46:55,2023-04-15 04:49:12,IP Address,68,136,False,2023-04-29 04:49:16,R_21cvVzd0RHvplEi,anonymous,UK,Yes,Yes,Yes,Yes,Yes,В ніч 23го,"Мадрид ",Probably yes,Master or equivalent level,Fluent,Fluent,Fluent,Fluent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,I did not trust it,I did not trust it,I did not trust it,Somehow trusted it,Somehow trusted it,I did not trust it,Somehow trusted it,Somehow trusted it,,,4,3,2,1,5,,Not Applicable: I did not have a look at the information provided by organizations,Credible,,,,,,,,,,,,,,,,0,,1,0.5,QID51,0.06666666666666667,QID41,
2023-04-15 05:09:19,2023-04-15 05:09:55,IP Address,9,35,False,2023-04-29 05:09:56,R_AtXpFVBlf0vkPO9,anonymous,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 05:17:32,2023-04-15 05:17:48,IP Address,6,16,False,2023-04-29 05:17:52,R_2qyIEMbBKLmTT7r,anonymous,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 07:43:03,2023-04-15 07:43:27,IP Address,9,24,False,2023-04-29 07:43:30,R_3MDne0R3q7MTXOq,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 08:42:51,2023-04-15 08:44:30,IP Address,26,98,False,2023-04-29 08:44:33,R_1osYqIZjPaEwveG,anonymous,EN,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 09:09:24,2023-04-15 09:12:12,IP Address,53,168,False,2023-04-29 09:12:15,R_9vQ4qxRGLDUMhTb,anonymous,UK,Yes,Yes,Yes,Yes,Yes,Лулу,Лалала,Probably yes,Bachelor or equivalent level,Fluent,Intermediate,Basic,Fluent,Окоу,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 09:55:22,2023-04-15 09:58:37,IP Address,76,195,False,2023-04-29 09:58:40,R_2AZqbA5Gxj9JwfT,anonymous,EN,Yes,Yes,Yes,Yes,Yes,5 March 2022,"Madrid ",Probably yes,Master or equivalent level,Fluent,Fluent,Fluent,Fluent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,I did not trust it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,Fully trusted it,,,3,4,2,1,5,,Sometimes,Accurate,,,,,,,,,,,,,,,,0,,1,0.5,QID51,0.1111111111111111,"QID41,QID56",
2023-04-15 10:09:55,2023-04-15 10:10:20,IP Address,9,24,False,2023-04-29 10:10:24,R_3lAnjNgyrimtKbn,anonymous,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 10:26:48,2023-04-15 10:27:05,IP Address,9,16,False,2023-04-29 10:27:06,R_1179ObrERO98jph,anonymous,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 06:45:40,2023-04-15 10:41:41,IP Address,18,14160,False,2023-04-29 10:41:45,R_3PvtMiJuERJIapN,anonymous,EN,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 11:53:05,2023-04-15 11:54:09,IP Address,26,63,False,2023-04-29 11:54:10,R_YQfSWhSzTg9f9kJ,anonymous,UK,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 12:40:35,2023-04-15 12:45:23,IP Address,38,287,False,2023-04-29 12:45:24,R_R8iSPHJacK6L0yt,anonymous,UK,Yes,Yes,Yes,Yes,Yes,22.03.2022,krakow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 13:06:22,2023-04-15 13:06:48,IP Address,9,25,False,2023-04-29 13:06:49,R_12sED8ve09v85nP,anonymous,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 13:43:11,2023-04-15 13:43:44,IP Address,9,32,False,2023-04-29 13:43:46,R_OxoCQEXAYgeJAXL,anonymous,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 14:15:05,2023-04-15 14:15:27,IP Address,9,21,False,2023-04-29 14:15:28,R_pmhCVRz8V1U3kf7,anonymous,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 15:10:25,2023-04-15 15:15:32,IP Address,76,307,False,2023-04-29 15:15:36,R_21go8tjPIMvqTgd,anonymous,EN,Yes,Yes,Yes,Yes,Yes,May 2022,Toronto,Probably yes,Bachelor or equivalent level,Fluent,Fluent,Intermediate,Intermediate,,Most of the time,Most of the time,Most of the time,Never,Most of the time,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Never,Never,Never,Most of the time,Most of the time,Most of the time,,,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,,,"Telegram, Facebook ",Fully trusted it,Fully trusted it,Fully trusted it,Fully trusted it,Somehow trusted it,I did not trust it,I did not trust it,Somehow trusted it,Fully trusted it,I did not trust it,Somehow trusted it,Fully trusted it,Fully trusted it,,4,3,2,1,5,,Yes,Credible,,,,,,,,,,,,,,,Unknown,0,,0,0,,0.05555555555555555,QID41,
2023-04-15 16:03:35,2023-04-15 16:09:39,IP Address,91,364,False,2023-04-29 16:09:40,R_yxri6aX2YO7XeZH,anonymous,UK,Yes,Yes,Yes,Yes,Yes,25.02.2022,"Barcelona ",Probably yes,Master or equivalent level,Fluent,Fluent,Fluent,Basic,,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Most of the time,Sometimes,Never,Never,Most of the time,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Never,Sometimes,Never,,Social networks and messangers,Somehow trusted it,Somehow trusted it,Fully trusted it,Fully trusted it,I did not trust it,I did not trust it,Somehow trusted it,Somehow trusted it,Fully trusted it,Fully trusted it,Fully trusted it,Fully trusted it,,,5,4,3,2,1,"Friends and family ",Yes,Other:,"None of the above ",,Yes,Credible,,,Might or might not,,,,,,,,Unknown,0,,0,0,,0.13043478260869565,"QID38,QID41,QID56",
2023-04-15 17:14:05,2023-04-15 17:18:10,IP Address,53,244,False,2023-04-29 17:18:19,R_3dEV6F0GMNqwGie,anonymous,UK,Yes,Yes,Yes,Yes,Yes,14 березня 2022 року,Каїр,Probably not,Master or equivalent level,,,,Fluent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 19:01:39,2023-04-15 19:07:59,IP Address,91,380,False,2023-04-29 19:08:05,R_3NUrqIRwTWWkvXH,anonymous,EN,Yes,Yes,Yes,Yes,No,10-30-2022,Konstanz,Probably not,Master or equivalent level,Fluent,Fluent,Fluent,Intermediate,,Most of the time,Most of the time,Sometimes,Never,Most of the time,Most of the time,Sometimes,Sometimes,Never,Never,Most of the time,Sometimes,Never,Never,Sometimes,Never,Sometimes,,,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Never,,,,Somehow trusted it,Somehow trusted it,Fully trusted it,Fully trusted it,Fully trusted it,Somehow trusted it,,Somehow trusted it,Fully trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,,,3,4,2,1,5,,Yes,"Reliable,Accurate,Transparent",,,,,,,Definitely yes,,,,,,,,,1,QID13,0,0,,0.17391304347826086,"QID34,QID38,QID41,QID56",
2023-04-15 19:36:18,2023-04-15 19:36:24,IP Address,6,6,False,2023-04-29 19:36:26,R_2fxQXHplzFPSxdD,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-15 23:49:05,2023-04-15 23:49:37,IP Address,26,31,False,2023-04-29 23:49:40,R_1gNiS1V4k7jymyW,anonymous,EN,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-16 00:02:02,2023-04-16 00:03:12,IP Address,9,70,False,2023-04-30 00:03:19,R_2zkFfvm2MxjZ5V4,anonymous,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-30 13:40:57,2023-04-30 13:57:06,IP Address,100,969,True,2023-04-30 13:57:07,R_VRr4MNETKo29OIV,anonymous,UK,Yes,Yes,Yes,Yes,Yes,01.2023,bratislava,Probably yes,Master or equivalent level,Fluent,Fluent,Basic,Basic,,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Never,Sometimes,Sometimes,Sometimes,Most of the time,,,Never,Most of the time,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,,,,Somehow trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,Somehow trusted it,I did not trust it,I did not trust it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,Somehow trusted it,,,3,4,2,1,5,,Yes,Credible,,,Yes,Credible,,,Definitely yes,,I found a part fo the necessary information for my migration journey,,lie,"Videos,Text",,,,0,,0,0,,0.15384615384615385,"QID34,QID38,QID41,QID56",
2023-04-16 15:34:33,2023-04-16 15:38:11,IP Address,71,217,False,2023-04-30 15:38:13,R_DH5zjwQC5xhsKad,anonymous,UK,Yes,Yes,Yes,Yes,Yes,22 березня 2022,Варшава,Probably yes,Master or equivalent level,Fluent,Fluent,Intermediate,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Credible,,,Yes,Credible,,,,,,,,,,,,0,,0,0,,0.17647058823529413,"QID41,QID56,QID58",
2023-04-16 18:37:24,2023-04-16 19:23:39,IP Address,9,2775,False,2023-04-30 19:23:43,R_1Q6rLWGJ7ifQMGJ,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-16 19:14:59,2023-04-16 20:06:43,IP Address,85,3103,False,2023-04-30 20:06:47,R_eb8iaHSqtW3WfZv,anonymous,UK,Yes,Yes,Yes,Yes,Yes,March 2022,Cracow,Probably yes,Master or equivalent level,Fluent,Fluent,Intermediate,Basic,,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Never,Never,Sometimes,Sometimes,Never,Sometimes,Most of the time,"У мене було все добре, бо зустріла добрих людей",Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Never,Sometimes,Університет,I've got info but I don't check it (it wasn't logicaly,Somehow trusted it,Somehow trusted it,Fully trusted it,Fully trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Fully trusted it,I did not trust it,Somehow trusted it,Fully trusted it,I did not trust it,,2,4,5,1,3,Viber,Yes,"Reliable,Accurate,Transparent",,I am sure that simple people against the war and will support,,Other:,"I didn't their info, but I believe RC",I think RC has a good image,,,,,,,,,Unknown,0,,0,0,,0.045454545454545456,QID58,
2023-04-17 00:01:55,2023-04-17 00:03:17,IP Address,26,81,False,2023-05-01 00:03:23,R_qzquYOdfps2DLUd,anonymous,EN,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-17 00:51:59,2023-04-17 00:53:36,IP Address,38,96,False,2023-05-01 00:53:38,R_3JkMBwTGYj0IhnW,anonymous,EN,Yes,Yes,Yes,Yes,Yes,04-24-2023,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-17 03:14:06,2023-04-17 03:14:56,IP Address,26,49,False,2023-05-01 03:20:55,R_2fC1NcKVWgeXzji,anonymous,EN,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-04-17 03:57:56,2023-04-17 03:58:24,IP Address,26,28,False,2023-05-01 03:58:25,R_1eFS6NqfYwNHFiV,anonymous,EN,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
2023-05-01 04:58:28,2023-05-01 05:07:40,IP Address,100,552,True,2023-05-01 05:07:41,R_ONXWRImwG6SibnP,anonymous,UK,Yes,Yes,Yes,Yes,Yes,Жовтень 2022,niort,Definitely not,Master or equivalent level,,Fluent,Intermediate,Intermediate,,Most of the time,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Never,Most of the time,Most of the time,Never,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,,,,,,Sometimes,,Sometimes,,,,,,Somehow trusted it,Somehow trusted it,Fully trusted it,Fully trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,Somehow trusted it,I did not trust it,Somehow trusted it,Somehow trusted it,,,3,4,1,2,5,,Sometimes,Credible,,,,,,,Might or might not,,I found all information necessary for my migration journey,,"Небажання допомогти, залучати українських мігрвнтів для роботи у соціальних службах","Infographics,Text",,,,0,,0,0,,0.15384615384615385,"QID34,QID38,QID41,QID56",
2023-04-17 08:25:41,2023-04-17 08:26:17,IP Address,6,35,False,2023-05-01 08:26:21,R_9ZyA1mBrrdo7xBv,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,0,,
